#xi phi g4
-8.000000 0.000000 1.000000
-8.000000 0.015708 0.999753
-8.000000 0.031416 0.999014
-8.000000 0.047124 0.997786
-8.000000 0.062832 0.996073
-8.000000 0.078540 0.993882
-8.000000 0.094248 0.991222
-8.000000 0.109956 0.988103
-8.000000 0.125664 0.984538
-8.000000 0.141372 0.980541
-8.000000 0.157080 0.976127
-8.000000 0.172788 0.971314
-8.000000 0.188496 0.966121
-8.000000 0.204204 0.960568
-8.000000 0.219911 0.954678
-8.000000 0.235619 0.948473
-8.000000 0.251327 0.941978
-8.000000 0.267035 0.935219
-8.000000 0.282743 0.928222
-8.000000 0.298451 0.921016
-8.000000 0.314159 0.913627
-8.000000 0.329867 0.906086
-8.000000 0.345575 0.898423
-8.000000 0.361283 0.890667
-8.000000 0.376991 0.882849
-8.000000 0.392699 0.875000
-8.000000 0.408407 0.867151
-8.000000 0.424115 0.859333
-8.000000 0.439823 0.851577
-8.000000 0.455531 0.843914
-8.000000 0.471239 0.836373
-8.000000 0.486947 0.828984
-8.000000 0.502655 0.821778
-8.000000 0.518363 0.814781
-8.000000 0.534071 0.808022
-8.000000 0.549779 0.801527
-8.000000 0.565487 0.795322
-8.000000 0.581195 0.789432
-8.000000 0.596903 0.783879
-8.000000 0.612611 0.778686
-8.000000 0.628319 0.773873
-8.000000 0.644026 0.769459
-8.000000 0.659734 0.765462
-8.000000 0.675442 0.761897
-8.000000 0.691150 0.758778
-8.000000 0.706858 0.756118
-8.000000 0.722566 0.753927
-8.000000 0.738274 0.752214
-8.000000 0.753982 0.750986
-8.000000 0.769690 0.750247
-8.000000 0.785398 0.750000
-8.000000 0.801106 0.750247
-8.000000 0.816814 0.750986
-8.000000 0.832522 0.752214
-8.000000 0.848230 0.753927
-8.000000 0.863938 0.756118
-8.000000 0.879646 0.758778
-8.000000 0.895354 0.761897
-8.000000 0.911062 0.765462
-8.000000 0.926770 0.769459
-8.000000 0.942478 0.773873
-8.000000 0.958186 0.778686
-8.000000 0.973894 0.783879
-8.000000 0.989602 0.789432
-8.000000 1.005310 0.795322
-8.000000 1.021018 0.801527
-8.000000 1.036726 0.808022
-8.000000 1.052434 0.814781
-8.000000 1.068142 0.821778
-8.000000 1.083849 0.828984
-8.000000 1.099557 0.836373
-8.000000 1.115265 0.843914
-8.000000 1.130973 0.851577
-8.000000 1.146681 0.859333
-8.000000 1.162389 0.867151
-8.000000 1.178097 0.875000
-8.000000 1.193805 0.882849
-8.000000 1.209513 0.890667
-8.000000 1.225221 0.898423
-8.000000 1.240929 0.906086
-8.000000 1.256637 0.913627
-8.000000 1.272345 0.921016
-8.000000 1.288053 0.928222
-8.000000 1.303761 0.935219
-8.000000 1.319469 0.941978
-8.000000 1.335177 0.948473
-8.000000 1.350885 0.954678
-8.000000 1.366593 0.960568
-8.000000 1.382301 0.966121
-8.000000 1.398009 0.971314
-8.000000 1.413717 0.976127
-8.000000 1.429425 0.980541
-8.000000 1.445133 0.984538
-8.000000 1.460841 0.988103
-8.000000 1.476549 0.991222
-8.000000 1.492257 0.993882
-8.000000 1.507964 0.996073
-8.000000 1.523672 0.997786
-8.000000 1.539380 0.999014
-8.000000 1.555088 0.999753
-8.000000 1.570796 1.000000
-8.000000 1.586504 0.999753
-8.000000 1.602212 0.999014
-8.000000 1.617920 0.997786
-8.000000 1.633628 0.996073
-8.000000 1.649336 0.993882
-8.000000 1.665044 0.991222
-8.000000 1.680752 0.988103
-8.000000 1.696460 0.984538
-8.000000 1.712168 0.980541
-8.000000 1.727876 0.976127
-8.000000 1.743584 0.971314
-8.000000 1.759292 0.966121
-8.000000 1.775000 0.960568
-8.000000 1.790708 0.954678
-8.000000 1.806416 0.948473
-8.000000 1.822124 0.941978
